eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed, O2
445, 6, 0, 0, 339, 0, 716, 34.60, 61.52, 0.8362359, 4095
464, 9, 0, 0, 343, 0, 701, 34.50, 60.76, 0.8362359, 4095
456, 8, 0, 0, 353, 0, 687, 34.61, 60.28, 1.012285, 4095
443, 6, 0, 0, 343, 0, 709, 34.50, 60.10, 0.7922234, 4095
487, 13, 0, 0, 347, 0, 677, 34.46, 60.73, 0.748211, 4095
443, 6, 0, 0, 347, 0, 688, 34.47, 61.12, 1.056298, 4095
476, 11, 0, 0, 353, 0, 710, 34.63, 61.35, 1.012285, 4095
498, 14, 0, 0, 349, 0, 720, 34.43, 60.10, 1.056298, 4095
524, 18, 0, 0, 342, 0, 693, 34.47, 60.67, 1.188335, 4095
531, 19, 0, 0, 350, 0, 687, 34.49, 60.84, 1.056298, 4095
602, 30, 0, 0, 343, 0, 687, 34.54, 62.68, 0.8802483, 4095
570, 25, 0, 0, 355, 0, 706, 34.61, 63.10, 0.748211, 4095
602, 30, 0, 0, 340, 0, 669, 34.73, 61.87, 1.320372, 4095
552, 23, 0, 0, 337, 0, 674, 34.63, 59.91, 1.364385, 4095
620, 33, 0, 0, 351, 0, 711, 34.67, 61.8, 2.068583, 4095
611, 32, 0, 0, 350, 0, 752, 34.68, 60.39, 0.0, 4095
665, 40, 0, 0, 359, 0, 704, 34.71, 61.75, 0.0, 4095
646, 37, 0, 0, 338, 0, 718, 34.71, 61.4, 0.0, 4095
668, 40, 0, 0, 356, 0, 718, 34.70, 61.64, 0.0, 4095
653, 38, 0, 0, 349, 0, 720, 34.81, 61.91, 0.0, 4095
612, 32, 0, 0, 349, 0, 699, 34.71, 61.39, 0.0, 4095
694, 44, 0, 0, 342, 0, 706, 34.68, 60.59, 0.0, 4095
520, 18, 0, 0, 363, 0, 717, 34.68, 60.61, 0.0, 4095
594, 29, 0, 0, 337, 0, 691, 34.63, 61.0, 0.0, 4095
678, 42, 0, 0, 347, 0, 674, 34.73, 61.44, 0.0, 4095
623, 33, 0, 0, 337, 0, 695, 34.76, 61.68, 0.0, 4095
607, 31, 0, 0, 351, 0, 718, 34.77, 61.37, 0.0, 4095
565, 25, 0, 0, 359, 0, 672, 34.81, 61.66, 0.0, 4095
534, 20, 0, 0, 358, 0, 689, 34.88, 60.72, 0.0, 4095
594, 29, 0, 0, 336, 0, 688, 34.88, 62.72, 0.0, 4095
615, 32, 0, 0, 355, 0, 723, 34.77, 62.20, 0.0, 4095
746, 52, 0, 0, 362, 0, 711, 34.64, 61.7, 0.0, 4095
1567, 220, 0, 0, 365, 0, 721, 34.46, 60.99, 0.0, 4095
688, 43, 0, 0, 369, 0, 704, 34.31, 60.6, 0.0, 4095
614, 32, 0, 0, 374, 0, 704, 34.31, 60.61, 0.0, 4095
710, 47, 0, 0, 387, 0, 698, 34.23, 61.81, 0.0, 4095
836, 66, 0, 0, 379, 0, 706, 34.22, 62.95, 0.0, 4095
692, 44, 0, 0, 373, 0, 681, 34.40, 61.86, 0.0, 4095
555, 23, 0, 0, 383, 0, 683, 34.42, 61.54, 0.0, 4095
461, 9, 0, 0, 400, 0, 720, 34.38, 59.62, 0.0, 4095
746, 52, 0, 0, 398, 0, 710, 34.43, 60.47, 0.0, 4095
754, 53, 0, 0, 397, 0, 731, 34.29, 60.80, 0.0, 4095
793, 59, 0, 0, 401, 0, 734, 34.18, 61.25, 1.364385, 4095
627, 34, 0, 0, 400, 0, 748, 34.16, 61.60, 1.012285, 4095
591, 29, 0, 0, 393, 0, 739, 34.8, 61.28, 0.9242607, 4095
686, 43, 0, 0, 401, 0, 727, 33.95, 62.74, 1.188335, 4095
772, 56, 0, 0, 409, 0, 720, 34.5, 63.1, 0.7041986, 4095
895, 75, 0, 0, 421, 0, 745, 34.18, 62.23, 11.13514, 4095
1071, 102, 0, 0, 401, 0, 709, 34.11, 63.9, 0.7922234, 4095
566, 25, 0, 0, 391, 0, 691, 34.20, 61.52, 1.012285, 4095
599, 30, 0, 0, 397, 0, 720, 34.26, 61.60, 0.6601862, 4095
457, 8, 0, 0, 413, 0, 731, 34.33, 61.3, 0.7922234, 4095
485, 12, 0, 0, 398, 0, 731, 34.36, 61.58, 0.7922234, 4095
485, 12, 0, 0, 405, 0, 730, 34.32, 61.44, 0.9682731, 4095
442, 6, 0, 0, 399, 0, 683, 34.38, 62.10, 1.10031, 4095
442, 6, 0, 0, 401, 0, 730, 34.46, 61.74, 0.7041986, 4095
455, 8, 0, 0, 400, 0, 695, 34.42, 59.27, 1.232347, 4095
436, 5, 0, 0, 399, 0, 690, 34.27, 59.54, 1.056298, 4095
475, 11, 0, 0, 393, 0, 711, 34.32, 60.98, 0.9682731, 4095
495, 14, 0, 0, 407, 0, 729, 34.49, 61.74, 0.8802483, 4095
584, 28, 0, 0, 385, 0, 722, 34.60, 62.18, 0.8802483, 4095
546, 22, 0, 0, 385, 0, 725, 34.57, 61.35, 0.748211, 4095
560, 24, 0, 0, 384, 0, 721, 34.53, 60.83, 1.540434, 4095
570, 25, 0, 0, 378, 0, 681, 34.60, 60.22, 0.08802483, 4095
529, 19, 0, 0, 384, 0, 752, 34.57, 62.35, 0.0, 4095
503, 15, 0, 0, 380, 0, 698, 34.73, 63.37, 0.0, 4095
483, 12, 0, 0, 368, 0, 723, 34.76, 62.39, 0.0, 4095
462, 9, 0, 0, 381, 0, 730, 34.77, 61.18, 0.0, 4095
455, 8, 0, 0, 385, 0, 721, 34.70, 61.20, 0.0, 4095
462, 9, 0, 0, 387, 0, 726, 34.59, 61.55, 0.0, 4095
488, 13, 0, 0, 369, 0, 728, 34.74, 61.71, 0.0, 4095
506, 16, 0, 0, 387, 0, 685, 34.60, 59.91, 0.0, 4095
451, 7, 0, 0, 395, 0, 704, 34.73, 59.33, 0.0, 4095
450, 7, 0, 0, 388, 0, 698, 34.70, 59.25, 0.0, 4095
446, 7, 0, 0, 386, 0, 718, 34.74, 58.56, 0.0, 4095
505, 15, 0, 0, 389, 0, 714, 34.60, 59.86, 0.0, 4095
500, 15, 0, 0, 389, 0, 709, 34.57, 59.70, 0.0, 4095
505, 15, 0, 0, 385, 0, 687, 34.68, 60.21, 0.0, 4095
476, 11, 0, 0, 384, 0, 720, 34.70, 59.89, 0.0, 4095
463, 9, 0, 0, 384, 0, 720, 34.73, 60.37, 0.0, 4095
530, 19, 0, 0, 389, 0, 699, 34.71, 60.91, 0.0, 4095
498, 14, 0, 0, 389, 0, 717, 34.80, 61.37, 0.0, 4095
460, 9, 0, 0, 375, 0, 695, 34.78, 60.92, 0.8802483, 4095
477, 11, 0, 0, 394, 0, 698, 34.86, 60.8, 0.1320372, 4095
536, 20, 0, 0, 369, 0, 713, 34.81, 60.81, 0.0, 4095
631, 35, 0, 0, 397, 0, 742, 34.91, 60.41, 1.45241, 4095
536, 20, 0, 0, 389, 0, 752, 34.73, 60.66, 1.056298, 4095
578, 27, 0, 0, 413, 0, 743, 34.63, 59.50, 0.9242607, 4095
574, 26, 0, 0, 384, 0, 718, 34.71, 61.45, 0.4401241, 4095
500, 15, 0, 0, 402, 0, 733, 34.73, 60.22, 0.0, 4095
543, 21, 0, 0, 404, 0, 742, 34.61, 60.23, 0.0, 4095
486, 13, 0, 0, 407, 0, 742, 34.49, 60.88, 9.066557, 4095
500, 15, 0, 0, 410, 0, 719, 34.49, 61.1, 0.0, 4095
492, 14, 0, 0, 419, 0, 715, 34.50, 60.45, 0.0, 4095
415, 2, 0, 0, 401, 0, 759, 34.38, 59.32, 0.0, 4095
418, 2, 0, 0, 416, 0, 720, 34.27, 61.20, 0.0, 4095
418, 2, 0, 0, 431, 0, 752, 34.14, 60.23, 0.0, 4095
475, 11, 0, 0, 420, 0, 723, 34.23, 61.45, 0.0, 4095
493, 14, 0, 0, 432, 0, 768, 34.25, 61.73, 0.0, 4095
501, 15, 0, 0, 431, 0, 739, 34.25, 61.68, 0.0, 4095
498, 14, 0, 0, 417, 0, 747, 34.25, 61.28, 0.0, 4095
493, 14, 0, 0, 412, 0, 751, 34.29, 61.71, 0.0, 4095
634, 35, 0, 0, 430, 0, 752, 34.27, 61.96, 0.0, 4095
846, 67, 0, 0, 413, 0, 787, 34.19, 62.2, 0.0, 4095
800, 60, 0, 0, 434, 0, 755, 34.32, 62.18, 0.0, 4095
640, 36, 0, 0, 413, 0, 743, 34.33, 61.83, 0.0, 4095
641, 36, 0, 0, 415, 0, 753, 34.45, 62.65, 0.0, 4095
569, 25, 0, 0, 421, 0, 753, 34.54, 61.87, 0.0, 4095
491, 13, 0, 0, 409, 0, 811, 34.54, 61.86, 0.0, 4095
457, 8, 0, 0, 403, 0, 784, 34.39, 61.31, 0.0, 4095
551, 23, 0, 0, 422, 0, 795, 34.45, 62.8, 0.0, 4095
653, 38, 0, 0, 413, 0, 798, 34.45, 61.15, 0.0, 4095
2367, 1496, 0, 0, 426, 0, 796, 34.43, 61.84, 0.0, 4095
995, 90, 0, 0, 432, 0, 806, 34.35, 60.33, 0.0, 4095
599, 30, 0, 0, 433, 0, 831, 34.16, 61.3, 0.0, 4095
575, 26, 0, 0, 423, 0, 830, 34.12, 61.45, 0.0, 4095
640, 36, 0, 0, 426, 0, 837, 34.12, 62.2, 0.0, 4095
634, 35, 0, 0, 447, 0, 828, 34.18, 63.44, 0.0, 4095
596, 29, 0, 0, 414, 0, 818, 34.27, 64.26, 0.0, 4095
586, 28, 0, 0, 431, 0, 784, 34.42, 62.91, 0.0, 4095
1017, 93, 0, 0, 410, 0, 810, 34.36, 61.93, 0.0, 4095
1107, 107, 0, 0, 426, 0, 805, 34.38, 61.98, 0.0, 4095
1514, 181, 0, 0, 434, 0, 849, 34.51, 61.92, 0.0, 4095
1071, 102, 0, 0, 416, 0, 845, 34.57, 62.86, 0.0, 4095
791, 59, 0, 0, 415, 0, 853, 34.54, 62.2, 0.0, 4095
