eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed, O2
645, 37, 0, 0, 490, 0, 864, 34.59, 59.99, 0.0, 4095
633, 35, 0, 0, 461, 0, 838, 34.74, 60.59, 0.0, 4095
653, 38, 0, 0, 468, 0, 880, 34.77, 60.83, 0.0, 4095
592, 29, 0, 0, 464, 0, 865, 34.70, 60.83, 0.0, 4095
503, 15, 0, 0, 470, 0, 848, 34.61, 60.37, 0.0, 4095
461, 9, 0, 0, 450, 0, 848, 34.51, 60.1, 0.0, 4095
461, 9, 0, 0, 464, 0, 879, 34.50, 60.11, 0.0, 4095
465, 9, 0, 0, 475, 0, 849, 34.46, 59.78, 0.0, 4095
498, 14, 0, 0, 450, 0, 887, 34.45, 60.48, 0.0, 4095
505, 15, 0, 0, 471, 0, 857, 34.32, 61.65, 0.0, 4095
549, 22, 0, 0, 464, 0, 828, 34.26, 60.56, 0.0, 4095
660, 39, 0, 0, 470, 0, 832, 34.36, 60.79, 0.0, 4095
653, 38, 0, 0, 470, 0, 850, 34.43, 60.17, 0.0, 4095
704, 46, 0, 0, 489, 0, 845, 34.50, 61.61, 0.0, 4095
626, 34, 0, 0, 479, 0, 851, 34.49, 60.88, 0.0, 4095
578, 27, 0, 0, 478, 0, 830, 34.67, 61.17, 0.0, 4095
1125, 110, 0, 0, 472, 0, 867, 34.51, 61.57, 0.0, 4095
930, 80, 0, 0, 464, 0, 863, 34.42, 62.15, 0.0, 4095
744, 52, 0, 0, 464, 0, 859, 34.57, 61.82, 0.0, 4095
581, 27, 0, 0, 491, 0, 864, 34.46, 60.9, 0.0, 4095
597, 30, 0, 0, 493, 0, 867, 34.47, 61.17, 0.0, 4095
603, 30, 0, 0, 465, 0, 875, 34.43, 63.20, 0.0, 4095
640, 36, 0, 0, 485, 0, 810, 34.53, 63.46, 1.144323, 4095
438, 5, 0, 0, 474, 0, 825, 34.53, 61.36, 1.144323, 4095
448, 7, 0, 0, 478, 0, 817, 34.50, 60.81, 0.7922234, 4095
529, 19, 0, 0, 462, 0, 870, 34.39, 60.26, 0.9682731, 4095
439, 5, 0, 0, 486, 0, 818, 34.12, 60.82, 1.056298, 4095
