eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed
400, 0, 0, 3127, 175, 315, 0, 34.50, 62.68, 0.0
425, 3, 0, 3857, 178, 259, 0, 34.44, 60.6, 0.0
424, 3, 0, 4095, 189, 165, 0, 34.38, 60.11, 0.0
420, 3, 0, 4095, 215, 151, 0, 34.37, 62.39, 0.0
426, 3, 0, 4095, 229, 164, 2, 34.50, 63.15, 0.0
462, 9, 0, 4090, 235, 132, 0, 34.31, 64.34, 0.0
524, 18, 0, 4049, 225, 167, 0, 34.45, 65.47, 0.0
503, 15, 0, 4090, 240, 151, 0, 34.44, 63.73, 0.0
530, 19, 0, 4095, 240, 124, 2, 34.37, 65.43, 1.10031
497, 14, 0, 4095, 254, 151, 0, 34.44, 63.83, 1.144323
508, 16, 0, 4095, 254, 150, 0, 34.35, 63.41, 1.188335
485, 12, 0, 4095, 259, 128, 0, 34.30, 63.61, 0.8362359
540, 21, 0, 4095, 290, 133, 0, 34.28, 63.99, 0.748211
462, 9, 0, 4095, 272, 109, 0, 34.24, 62.27, 1.27636
506, 16, 0, 4095, 291, 99, 0, 34.30, 62.66, 0.9682731
546, 22, 0, 4095, 281, 147, 0, 34.27, 63.35, 1.056298
506, 16, 0, 4095, 286, 130, 0, 34.34, 63.79, 1.056298
560, 24, 0, 4095, 281, 112, 0, 34.37, 63.6, 0.7922234
491, 13, 0, 4095, 303, 93, 0, 34.26, 62.51, 1.056298
560, 24, 0, 4095, 293, 107, 0, 34.37, 63.86, 1.188335
641, 36, 0, 4076, 274, 101, 0, 34.37, 63.88, 0.1320372
714, 47, 0, 4008, 299, 127, 0, 34.43, 63.37, 0.0
772, 56, 0, 3920, 288, 165, 0, 34.50, 65.49, 0.0
732, 50, 0, 4057, 306, 119, 0, 34.52, 64.86, 0.0
637, 36, 0, 4059, 299, 143, 0, 34.54, 62.96, 0.0
783, 58, 0, 3946, 311, 154, 0, 34.62, 64.76, 0.0
637, 36, 0, 4095, 325, 115, 0, 34.59, 61.47, 0.0
567, 25, 0, 4095, 312, 145, 0, 34.63, 61.45, 0.0
527, 19, 0, 4095, 326, 128, 8, 34.50, 61.77, 0.0
586, 28, 0, 4095, 332, 149, 0, 34.58, 62.22, 0.0
605, 31, 0, 4095, 334, 112, 0, 34.51, 61.95, 0.0
732, 50, 0, 4080, 318, 111, 0, 34.61, 61.93, 0.0
671, 41, 0, 3997, 319, 122, 0, 34.59, 61.74, 0.0
732, 50, 0, 3851, 309, 110, 0, 34.65, 64.9, 0.0
793, 59, 0, 3824, 327, 113, 0, 34.75, 63.73, 0.0
719, 48, 0, 3959, 319, 144, 0, 34.78, 63.4, 0.0
763, 55, 0, 3943, 307, 127, 0, 34.79, 63.9, 0.0
740, 51, 0, 4031, 313, 157, 0, 34.82, 64.36, 0.0
732, 50, 0, 4095, 321, 121, 0, 34.76, 64.73, 0.0
749, 53, 0, 4081, 327, 114, 0, 34.78, 65.14, 0.0
666, 40, 0, 4095, 332, 148, 0, 34.75, 64.46, 0.0
646, 37, 0, 4095, 336, 125, 0, 34.81, 63.56, 0.0
645, 37, 0, 4095, 325, 128, 0, 34.85, 64.23, 0.0
641, 36, 0, 4082, 340, 114, 0, 34.82, 61.74, 0.0
719, 48, 0, 4047, 347, 146, 0, 34.86, 62.84, 0.0
637, 36, 0, 4019, 339, 103, 0, 34.90, 64.48, 0.0
605, 31, 0, 4095, 327, 144, 0, 34.86, 63.53, 0.0
586, 28, 0, 4095, 336, 91, 0, 34.93, 62.91, 0.0
627, 34, 0, 4095, 327, 125, 0, 34.97, 63.20, 0.0
594, 29, 0, 4095, 338, 118, 0, 34.89, 62.13, 0.0
641, 36, 0, 4095, 345, 112, 0, 34.81, 61.99, 0.0
646, 37, 0, 4095, 336, 113, 0, 34.90, 62.89, 0.0
666, 40, 0, 4095, 356, 109, 0, 34.93, 63.27, 0.0
726, 49, 0, 4095, 359, 95, 0, 34.89, 63.38, 0.0
748, 53, 0, 4095, 336, 96, 0, 34.84, 63.11, 0.0
704, 46, 0, 4095, 352, 135, 0, 34.90, 61.75, 0.0
