eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed
426, 3, 0, 799, 0, 123, 159, 44.54, 33.54, 3.080869
407, 1, 0, 781, 0, 119, 144, 44.62, 33.37, 2.904819
428, 4, 0, 824, 0, 113, 155, 44.49, 33.54, 4.225192
726, 49, 0, 818, 0, 112, 163, 44.53, 33.73, 3.036856
435, 5, 0, 809, 0, 125, 150, 44.45, 33.46, 2.992844
464, 9, 0, 813, 0, 112, 160, 44.56, 33.45, 3.344944
546, 22, 0, 803, 0, 110, 151, 44.60, 33.62, 3.344944
627, 34, 0, 784, 0, 112, 149, 44.62, 33.98, 3.82908
646, 37, 0, 786, 0, 117, 159, 44.66, 33.70, 2.992844
710, 47, 0, 789, 0, 103, 155, 44.69, 33.73, 2.992844
436, 5, 0, 769, 0, 128, 149, 44.74, 33.17, 3.168894
417, 2, 0, 763, 0, 141, 150, 44.76, 33.49, 3.168894
441, 6, 0, 784, 0, 134, 155, 44.84, 33.48, 3.609018
446, 7, 0, 794, 0, 122, 146, 44.80, 33.53, 3.036856
476, 11, 0, 793, 0, 132, 174, 44.64, 34.83, 2.816794
534, 20, 0, 827, 0, 119, 151, 44.49, 34.80, 3.565006
411, 1, 0, 837, 0, 112, 144, 44.45, 33.68, 3.036856
517, 17, 0, 830, 0, 112, 135, 44.60, 33.89, 2.72877
452, 7, 0, 794, 0, 104, 131, 44.69, 33.46, 3.609018
452, 7, 0, 802, 0, 102, 155, 44.64, 33.40, 3.300931
502, 15, 0, 789, 0, 109, 138, 44.80, 33.37, 3.873092
617, 33, 0, 767, 0, 106, 132, 44.77, 33.25, 2.948832
674, 41, 0, 784, 0, 112, 133, 44.66, 33.45, 3.432968
495, 14, 0, 778, 0, 107, 135, 44.78, 33.24, 3.168894
949, 83, 0, 784, 0, 112, 151, 44.73, 33.29, 3.212906
959, 85, 0, 770, 0, 111, 144, 44.78, 33.58, 3.917105
652, 38, 0, 752, 0, 112, 148, 44.81, 33.52, 3.82908
626, 34, 0, 747, 0, 113, 142, 44.90, 33.53, 2.992844
846, 67, 0, 754, 0, 82, 155, 44.93, 33.92, 3.212906
603, 30, 0, 747, 0, 110, 159, 45.1, 33.43, 2.904819
740, 51, 0, 720, 0, 114, 172, 45.12, 33.34, 3.300931
810, 62, 0, 723, 0, 158, 144, 45.9, 33.1, 3.917105
1099, 106, 0, 709, 0, 112, 144, 45.21, 33.26, 3.609018
961, 85, 0, 725, 0, 141, 160, 45.34, 33.40, 3.388956
975, 87, 0, 706, 0, 112, 149, 45.45, 33.8, 2.860807
1307, 138, 0, 699, 0, 132, 159, 45.46, 32.85, 2.420682
1047, 98, 0, 699, 0, 130, 134, 45.42, 33.30, 2.244633
806, 61, 0, 737, 0, 113, 159, 45.24, 32.78, 2.816794
