eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed
565, 25, 0, 1121, 0, 139, 207, 43.36, 36.91, 3.565006
534, 20, 0, 1124, 0, 149, 149, 43.32, 36.93, 3.609018
972, 87, 0, 1136, 0, 164, 169, 43.37, 36.44, 3.520993
539, 21, 0, 1130, 0, 161, 167, 43.43, 35.96, 3.388956
675, 41, 0, 1150, 0, 166, 173, 43.39, 36.58, 3.036856
643, 37, 0, 1161, 0, 144, 161, 43.40, 36.53, 3.476981
533, 20, 0, 1168, 0, 132, 169, 43.39, 37.13, 3.609018
549, 22, 0, 1228, 0, 128, 160, 43.26, 36.30, 3.344944
702, 46, 0, 1198, 0, 128, 161, 43.26, 35.89, 3.697043
1001, 91, 0, 1168, 0, 161, 183, 43.28, 36.39, 3.697043
615, 32, 0, 1114, 0, 141, 173, 43.33, 36.61, 2.992844
533, 20, 0, 1115, 0, 129, 163, 43.45, 36.74, 3.300931
473, 11, 0, 1083, 0, 137, 150, 43.47, 36.92, 2.992844
524, 18, 0, 1139, 0, 137, 174, 43.24, 35.78, 3.65303
524, 18, 0, 1126, 0, 129, 165, 43.37, 35.86, 2.904819
574, 26, 0, 1101, 0, 130, 155, 43.39, 36.25, 3.520993
570, 25, 0, 1072, 0, 131, 144, 43.63, 35.85, 2.904819
473, 11, 0, 1161, 0, 97, 150, 43.32, 35.70, 3.476981
400, 0, 0, 1218, 0, 124, 160, 43.9, 35.94, 3.212906
564, 24, 0, 1182, 0, 124, 154, 43.23, 36.2, 3.697043
543, 21, 0, 1190, 0, 128, 170, 43.30, 36.43, 3.168894
427, 4, 0, 1174, 0, 141, 165, 43.33, 36.45, 3.256919
476, 11, 0, 1196, 0, 155, 161, 43.36, 35.98, 3.476981
577, 26, 0, 1175, 0, 132, 154, 43.26, 36.8, 3.520993
660, 39, 0, 1161, 0, 150, 151, 43.41, 36.7, 2.684757
780, 57, 0, 1121, 0, 128, 153, 43.64, 36.64, 4.137167
791, 59, 0, 1123, 0, 128, 181, 43.58, 36.0, 3.080869
671, 41, 0, 1056, 0, 115, 159, 43.74, 36.13, 3.520993
848, 68, 0, 1057, 0, 115, 172, 43.72, 36.33, 3.565006
672, 41, 0, 1059, 0, 135, 162, 43.84, 36.53, 3.82908
614, 32, 0, 1098, 0, 134, 159, 43.63, 36.26, 2.596732
1526, 189, 0, 1126, 0, 132, 179, 43.71, 36.43, 2.640745
1494, 168, 0, 1085, 0, 141, 178, 43.87, 36.0, 3.388956
783, 58, 0, 1094, 0, 144, 175, 43.92, 35.50, 4.049142
987, 89, 0, 1066, 0, 128, 172, 43.92, 35.36, 4.313217
800, 60, 0, 1058, 0, 138, 161, 44.2, 35.1, 2.508708
1062, 100, 0, 1102, 0, 147, 190, 43.72, 35.53, 3.388956
1441, 158, 0, 1073, 0, 144, 201, 43.88, 36.57, 3.961117
746, 52, 0, 1100, 0, 138, 171, 43.51, 35.43, 3.256919
882, 73, 0, 1149, 0, 113, 193, 43.39, 35.47, 3.65303
612, 32, 0, 1125, 0, 137, 178, 43.44, 35.71, 4.577291
451, 7, 0, 1181, 0, 131, 176, 43.2, 35.95, 3.124882
726, 49, 0, 1185, 0, 146, 197, 42.93, 37.1, 3.080869
570, 25, 0, 1147, 0, 134, 178, 42.93, 37.17, 3.124882
959, 85, 0, 1117, 0, 129, 176, 43.0, 37.27, 3.565006
940, 82, 0, 1125, 0, 131, 161, 42.85, 35.93, 3.609018
599, 30, 0, 1157, 0, 129, 190, 42.82, 36.45, 6.0297
774, 56, 0, 1133, 0, 128, 166, 42.92, 36.59, 0.0
586, 28, 0, 1136, 0, 131, 176, 42.95, 37.14, 0.0
679, 42, 0, 1137, 0, 141, 167, 42.86, 37.3, 0.0
529, 19, 0, 1135, 0, 144, 154, 42.69, 36.91, 3.168894
487, 13, 0, 1099, 0, 126, 168, 42.85, 37.5, 1.408397
435, 5, 0, 1121, 0, 122, 150, 42.85, 35.86, 3.697043
400, 0, 0, 1119, 0, 128, 141, 42.69, 36.25, 4.093154
400, 0, 0, 1123, 0, 122, 174, 42.58, 36.57, 3.785067
1778, 425, 0, 1110, 0, 140, 220, 42.42, 36.90, 3.697043
1817, 471, 0, 1110, 0, 178, 238, 42.33, 37.64, 3.476981
887, 74, 0, 1118, 0, 150, 197, 42.30, 37.46, 3.212906
825, 64, 0, 1095, 0, 138, 183, 42.42, 37.49, 3.565006
853, 69, 0, 1041, 0, 144, 179, 42.57, 38.34, 3.212906
581, 27, 0, 1089, 0, 129, 176, 42.41, 37.38, 3.124882
591, 29, 0, 1059, 0, 128, 196, 42.65, 37.32, 2.772782
1004, 92, 0, 1072, 0, 132, 171, 42.72, 37.6, 3.168894
584, 28, 0, 1091, 0, 129, 167, 42.80, 36.27, 3.388956
719, 48, 0, 1104, 0, 125, 176, 42.93, 36.51, 3.476981
678, 42, 0, 1040, 0, 123, 156, 43.6, 36.77, 3.520993
646, 37, 0, 1051, 0, 136, 144, 43.27, 36.3, 3.388956
686, 43, 0, 1045, 0, 128, 150, 43.30, 35.79, 2.860807
1525, 188, 0, 1039, 0, 142, 165, 43.51, 36.13, 3.432968
1598, 243, 0, 988, 0, 159, 186, 43.47, 36.6, 3.344944
780, 57, 0, 1018, 0, 171, 183, 43.57, 35.90, 3.388956
838, 66, 0, 1012, 0, 176, 167, 43.70, 35.89, 3.741055
704, 46, 0, 1041, 0, 144, 167, 43.57, 35.68, 3.432968
800, 60, 0, 1023, 0, 121, 167, 43.68, 36.14, 2.816794
640, 36, 0, 1059, 0, 160, 166, 43.61, 36.2, 4.137167
697, 45, 0, 1081, 0, 128, 169, 43.68, 35.53, 3.124882
618, 33, 0, 1112, 0, 131, 165, 43.78, 35.51, 2.992844
692, 44, 0, 1095, 0, 122, 166, 43.77, 35.73, 2.904819
623, 33, 0, 1060, 0, 125, 155, 43.85, 35.70, 3.741055
623, 33, 0, 1043, 0, 133, 158, 43.88, 35.62, 3.697043
712, 47, 0, 1067, 0, 139, 162, 43.89, 35.48, 3.609018
1053, 99, 0, 1043, 0, 132, 165, 43.92, 36.1, 4.049142
615, 32, 0, 1093, 0, 126, 146, 43.71, 34.79, 2.860807
863, 70, 0, 1051, 0, 125, 160, 43.99, 36.36, 3.476981
834, 66, 0, 1009, 0, 125, 159, 44.9, 35.90, 2.55272
735, 51, 0, 985, 0, 119, 155, 44.19, 35.31, 3.388956
645, 37, 0, 979, 0, 121, 148, 44.15, 35.17, 2.772782
699, 45, 0, 965, 0, 118, 162, 44.23, 34.94, 3.565006
791, 59, 0, 976, 0, 128, 183, 44.16, 35.4, 3.565006
1083, 104, 0, 977, 0, 124, 160, 44.37, 35.24, 3.873092
519, 18, 0, 1000, 0, 144, 163, 44.25, 35.29, 2.816794
569, 25, 0, 1049, 0, 123, 161, 44.1, 34.83, 2.772782
581, 27, 0, 1040, 0, 111, 164, 43.85, 34.71, 3.697043
1093, 105, 0, 1041, 0, 112, 165, 43.87, 35.18, 0.0
1140, 112, 0, 1011, 0, 120, 160, 43.75, 35.5, 0.0
821, 64, 0, 990, 0, 115, 112, 43.91, 35.91, 8.186309
